Region,Horizon,Feature,Importance
W,1,t_500_weekave_mexico_gulf_pc2,-0.0046663359862712936
W,1,t_500_weekave_pacific_ocean_pc2,0.00867392606336237
W,1,t_500_weekave_pacific_trop_pc2,0.004310163581501136
W,1,t_500_weekave_southern_canada_pc2,0.007286147084322003
W,1,t_850_weekave_arctic_pc2,0.001724582226628198
W,1,t_850_weekave_atlantic_ocean_pc2,0.0042267581232391825
W,1,t_850_weekave_atlantic_trop_pc2,-0.0003272645436407373
W,1,t_850_weekave_conus_pc2,-0.001913367745163915
W,1,t_850_weekave_east_asia_pc2,-0.003907660034504712
W,1,t_850_weekave_mexico_gulf_pc2,-0.005453992374802781
W,1,t_850_weekave_pacific_ocean_pc2,-0.0009588242441587921
W,1,t_850_weekave_pacific_trop_pc2,0.0036547610902172957
W,1,t_850_weekave_southern_canada_pc2,0.0003873202965062994
W,1,ts_weekave_arctic_pc2,-0.0019345132609524937
W,1,ts_weekave_atlantic_ocean_pc2,0.004746282123821555
W,1,ts_weekave_atlantic_trop_pc2,0.005261331857336889
W,1,ts_weekave_conus_pc2,0.003474637483724378
W,1,ts_weekave_east_asia_pc2,0.0011274277749371286
W,1,ts_weekave_mexico_gulf_pc2,-0.003956129576759378
W,1,ts_weekave_pacific_ocean_pc2,0.00048521431117993786
W,1,ts_weekave_pacific_trop_pc2,0.0004171430133661798
W,1,ts_weekave_southern_canada_pc2,-0.001851936450954561
W,1,h_500_weekave_arctic_pc3,0.0004578288094470473
W,1,h_500_weekave_atlantic_ocean_pc3,0.0009173395510092775
W,1,h_500_weekave_atlantic_trop_pc3,0.0009138553361258239
W,1,h_500_weekave_conus_pc3,0.016769736405913883
W,1,h_500_weekave_east_asia_pc3,-0.0006907733204642182
W,1,h_500_weekave_mexico_gulf_pc3,0.0006729441286560759
W,1,h_500_weekave_pacific_ocean_pc3,0.052081213866187574
W,1,h_500_weekave_pacific_trop_pc3,-0.0010766502715472488
W,1,h_500_weekave_southern_canada_pc3,-0.00026520587375046626
W,1,h_850_weekave_arctic_pc3,0.002399947791229895
W,1,h_850_weekave_atlantic_ocean_pc3,0.0010858427861461628
W,1,h_850_weekave_atlantic_trop_pc3,-0.0010998658412436414
W,1,h_850_weekave_conus_pc3,-0.0019376395738006794
W,1,h_850_weekave_east_asia_pc3,-0.004391714833701569
W,1,h_850_weekave_mexico_gulf_pc3,0.0002635265992023091
W,1,h_850_weekave_pacific_ocean_pc3,0.005141290997749959
W,1,h_850_weekave_pacific_trop_pc3,-0.0026676926455837524
W,1,h_850_weekave_southern_canada_pc3,-0.0019120345955316864
W,1,slp_weekave_arctic_pc3,0.00026768661340872415
W,1,slp_weekave_atlantic_ocean_pc3,0.0006633401656128394
W,1,slp_weekave_atlantic_trop_pc3,-0.0034297872911378904
W,1,slp_weekave_conus_pc3,0.00136635391445461
W,1,slp_weekave_east_asia_pc3,-0.0010470704299607725
W,1,slp_weekave_mexico_gulf_pc3,0.004571600371680725
W,1,slp_weekave_pacific_ocean_pc3,0.007827323864420007
W,1,slp_weekave_pacific_trop_pc3,0.00058045725342278
W,1,slp_weekave_southern_canada_pc3,-0.0005494057956434873
W,1,t_500_weekave_arctic_pc3,0.0021216104755272507
W,1,t_500_weekave_atlantic_ocean_pc3,-0.002551877242438779
W,1,t_500_weekave_atlantic_trop_pc3,-0.005031439695415685
W,1,t_500_weekave_conus_pc3,-0.0025120464479657656
W,1,t_500_weekave_east_asia_pc3,0.003032369743184186
W,1,t_500_weekave_mexico_gulf_pc3,0.0004742666254063721
W,1,t_500_weekave_pacific_ocean_pc3,0.0023358100706303434
W,1,t_500_weekave_pacific_trop_pc3,0.0009755969107739423
W,1,t_500_weekave_southern_canada_pc3,-0.00557622386033998
W,1,t_850_weekave_arctic_pc3,0.0010948216263130621
W,1,t_850_weekave_atlantic_ocean_pc3,-0.0008050807633815419
W,1,t_850_weekave_atlantic_trop_pc3,0.0007830888468414917
W,1,t_850_weekave_conus_pc3,0.0008682353542364574
W,1,t_850_weekave_east_asia_pc3,0.00725940393890309
W,1,t_850_weekave_mexico_gulf_pc3,0.0019408934636049758
W,1,t_850_weekave_pacific_ocean_pc3,0.02372109265466517
W,1,t_850_weekave_pacific_trop_pc3,0.0022530689669035967
W,1,t_850_weekave_southern_canada_pc3,0.001349281962866063
W,1,ts_weekave_arctic_pc3,-0.003575069776707629
W,1,ts_weekave_atlantic_ocean_pc3,0.001886500710952177
W,1,ts_weekave_atlantic_trop_pc3,-0.0009185817493505924
W,1,ts_weekave_conus_pc3,-0.0031234245804885024
W,1,ts_weekave_east_asia_pc3,0.0010020856379245066
W,1,ts_weekave_mexico_gulf_pc3,-0.0016487441064706233
W,1,ts_weekave_pacific_ocean_pc3,0.0028389353438978897
W,1,ts_weekave_pacific_trop_pc3,-0.0016895809390815586
W,1,ts_weekave_southern_canada_pc3,-0.0014657075333945001
W,1,h_500_weekave_arctic_pc4,0.0002392945203568549
W,1,h_500_weekave_atlantic_ocean_pc4,0.010184392166904062
W,1,h_500_weekave_atlantic_trop_pc4,-0.002511292907204273
W,1,h_500_weekave_conus_pc4,0.0014710612317146913
W,1,h_500_weekave_east_asia_pc4,0.004148791997182647
W,1,h_500_weekave_mexico_gulf_pc4,-0.002839047489016089
W,1,h_500_weekave_pacific_ocean_pc4,-0.006225984685046389
W,1,h_500_weekave_pacific_trop_pc4,-0.0019498275171977515
W,1,h_500_weekave_southern_canada_pc4,-0.0004425596739250359
W,1,h_850_weekave_arctic_pc4,0.0014026483518632855
W,1,h_850_weekave_atlantic_ocean_pc4,0.0016378074429866274
W,1,h_850_weekave_atlantic_trop_pc4,-0.0020670022625767595
W,1,h_850_weekave_conus_pc4,0.0011142627111853838
W,1,h_850_weekave_east_asia_pc4,0.00649761540829837
W,1,h_850_weekave_mexico_gulf_pc4,0.008826488893822582
W,1,h_850_weekave_pacific_ocean_pc4,0.0005551859753232098
W,1,h_850_weekave_pacific_trop_pc4,-0.0005501429805492582
W,1,h_850_weekave_southern_canada_pc4,0.007737458319945123
W,1,slp_weekave_arctic_pc4,0.002744979436164267
W,1,slp_weekave_atlantic_ocean_pc4,0.007938762714231166
W,1,slp_weekave_atlantic_trop_pc4,-0.003761317008089282
W,1,slp_weekave_conus_pc4,7.459067429147482e-05
W,1,slp_weekave_east_asia_pc4,-0.004449298957577715
W,1,slp_weekave_mexico_gulf_pc4,0.00015084243766088078
W,1,slp_weekave_pacific_ocean_pc4,0.0007617124108913132
W,1,slp_weekave_pacific_trop_pc4,0.001618771072853716
W,1,slp_weekave_southern_canada_pc4,0.0010014256839877926
W,1,t_500_weekave_arctic_pc4,-0.0011925645389137725
W,1,t_500_weekave_atlantic_ocean_pc4,0.005217328784867891
W,1,t_500_weekave_atlantic_trop_pc4,-0.00145049831707628
W,1,t_500_weekave_conus_pc4,-0.01301030599837567
W,1,t_500_weekave_east_asia_pc4,0.0016706206543816234
W,1,t_500_weekave_mexico_gulf_pc4,-0.001749235789322275
W,1,t_500_weekave_pacific_ocean_pc4,-0.0019414690376574543
W,1,t_500_weekave_pacific_trop_pc4,0.00299982418777871
W,1,t_500_weekave_southern_canada_pc4,-1.7630422851677707e-05
W,1,t_850_weekave_arctic_pc4,-0.0008224616623667321
W,1,t_850_weekave_atlantic_ocean_pc4,0.0020917616709546986
W,1,t_850_weekave_atlantic_trop_pc4,-0.0008762594787153984
W,1,t_850_weekave_conus_pc4,0.0023827505067795405
W,1,t_850_weekave_east_asia_pc4,-0.0033006326487284928
W,1,t_850_weekave_mexico_gulf_pc4,-0.0009344960902148535
W,1,t_850_weekave_pacific_ocean_pc4,0.0006286881053625848
W,1,t_850_weekave_pacific_trop_pc4,-0.000629269650221224
