Group,Mean_Importance,Std_Importance,Group_Size,Feature,Region,Horizon
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_southern_canada_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,ts_weekave_conus_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,ts_weekave_atlantic_trop_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,ts_weekave_arctic_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_pacific_trop_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,ts_weekave_atlantic_ocean_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_mexico_gulf_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_east_asia_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_pacific_ocean_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_conus_pc15,MW,1
388,0.008187518839783,0.0060244443131022,11,t_850_weekave_atlantic_trop_pc15,MW,1
389,0.0081694101621458,0.0033122823064541,7,h_500_weekave_atlantic_ocean_pc16,MW,1
389,0.0081694101621458,0.0033122823064541,7,h_500_weekave_arctic_pc16,MW,1
389,0.0081694101621458,0.0033122823064541,7,ts_weekave_southern_canada_pc15,MW,1
389,0.0081694101621458,0.0033122823064541,7,ts_weekave_pacific_trop_pc15,MW,1
389,0.0081694101621458,0.0033122823064541,7,ts_weekave_pacific_ocean_pc15,MW,1
389,0.0081694101621458,0.0033122823064541,7,ts_weekave_mexico_gulf_pc15,MW,1
389,0.0081694101621458,0.0033122823064541,7,ts_weekave_east_asia_pc15,MW,1
478,0.0081260625428264,0.0030664826520711,1,t_850_weekave_pacific_ocean_pc18,MW,1
115,0.007899656960323,0.0038552089861577,2,t_850_weekave_pacific_ocean_pc3,MW,1
115,0.007899656960323,0.0038552089861577,2,t_850_weekave_pacific_trop_pc3,MW,1
232,0.0078422889627106,0.0039281104322893,2,t_500_weekave_arctic_pc7,MW,1
232,0.0078422889627106,0.0039281104322893,2,t_500_weekave_atlantic_ocean_pc7,MW,1
372,0.0076623365120822,0.0050469105478395,4,h_850_weekave_atlantic_ocean_pc14,MW,1
372,0.0076623365120822,0.0050469105478395,4,h_850_weekave_atlantic_trop_pc14,MW,1
372,0.0076623365120822,0.0050469105478395,4,h_500_weekave_southern_canada_pc14,MW,1
372,0.0076623365120822,0.0050469105478395,4,h_850_weekave_arctic_pc14,MW,1
260,0.007603600097243,0.0042715990769499,2,h_850_weekave_arctic_pc8,MW,1
260,0.007603600097243,0.0042715990769499,2,h_850_weekave_atlantic_ocean_pc8,MW,1
220,0.0072875647939251,0.0032719651925698,2,h_500_weekave_east_asia_pc7,MW,1
220,0.0072875647939251,0.0032719651925698,2,h_500_weekave_mexico_gulf_pc7,MW,1
231,0.0070142970746535,0.0043805321806699,1,slp_weekave_southern_canada_pc7,MW,1
402,0.0067815272818868,0.0066072657795644,5,t_850_weekave_pacific_trop_pc16,MW,1
402,0.0067815272818868,0.0066072657795644,5,t_850_weekave_southern_canada_pc16,MW,1
402,0.0067815272818868,0.0066072657795644,5,ts_weekave_arctic_pc16,MW,1
402,0.0067815272818868,0.0066072657795644,5,ts_weekave_atlantic_ocean_pc16,MW,1
402,0.0067815272818868,0.0066072657795644,5,ts_weekave_atlantic_trop_pc16,MW,1
116,0.006658748806333,0.0063639282876657,1,t_850_weekave_southern_canada_pc3,MW,1
320,0.0064338474716528,0.003547511062332,1,t_500_weekave_southern_canada_pc11,MW,1
66,0.0064289996738187,0.0044332540906466,4,ts_weekave_east_asia_pc1,MW,1
66,0.0064289996738187,0.0044332540906466,4,ts_weekave_mexico_gulf_pc1,MW,1
66,0.0064289996738187,0.0044332540906466,4,ts_weekave_pacific_ocean_pc1,MW,1
66,0.0064289996738187,0.0044332540906466,4,ts_weekave_pacific_trop_pc1,MW,1
225,0.0064075980087772,0.0090741264224731,2,h_850_weekave_southern_canada_pc7,MW,1
225,0.0064075980087772,0.0090741264224731,2,slp_weekave_arctic_pc7,MW,1
286,0.0063947569962016,0.0036831361062162,4,h_850_weekave_conus_pc9,MW,1
286,0.0063947569962016,0.0036831361062162,4,h_850_weekave_east_asia_pc9,MW,1
286,0.0063947569962016,0.0036831361062162,4,h_850_weekave_mexico_gulf_pc9,MW,1
286,0.0063947569962016,0.0036831361062162,4,h_850_weekave_pacific_ocean_pc9,MW,1
205,0.0062887770429007,0.0032121490992194,2,t_500_weekave_arctic_pc6,MW,1
205,0.0062887770429007,0.0032121490992194,2,slp_weekave_southern_canada_pc6,MW,1
515,0.0062703645994765,0.0033350185442507,3,ts_weekave_pacific_trop_pc19,MW,1
515,0.0062703645994765,0.0033350185442507,3,ts_weekave_mexico_gulf_pc19,MW,1
515,0.0062703645994765,0.0033350185442507,3,ts_weekave_pacific_ocean_pc19,MW,1
396,0.0061684910799779,0.0033625202908141,3,slp_weekave_southern_canada_pc16,MW,1
396,0.0061684910799779,0.0033625202908141,3,slp_weekave_pacific_ocean_pc16,MW,1
396,0.0061684910799779,0.0033625202908141,3,slp_weekave_pacific_trop_pc16,MW,1
334,0.0060343662826194,0.0029606969824574,2,h_850_weekave_arctic_pc12,MW,1
334,0.0060343662826194,0.0029606969824574,2,h_850_weekave_atlantic_ocean_pc12,MW,1
426,0.0059702958543789,0.0049211330141157,1,t_500_weekave_southern_canada_pc17,MW,1
73,0.0056882704671866,0.0100236037435161,2,slp_weekave_arctic_pc2,MW,1
73,0.0056882704671866,0.0100236037435161,2,slp_weekave_atlantic_ocean_pc2,MW,1
448,0.0056795552771597,0.0042829935737192,2,h_500_weekave_pacific_ocean_pc18,MW,1
448,0.0056795552771597,0.0042829935737192,2,h_500_weekave_pacific_trop_pc18,MW,1
276,0.0056248721856053,0.0047594712186408,5,t_850_weekave_southern_canada_pc8,MW,1
276,0.0056248721856053,0.0047594712186408,5,t_850_weekave_pacific_ocean_pc8,MW,1
